Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-04-30,3.62,3.62,3.6,3.61
2010-05-31,3.61,3.63,3.61,3.62
2010-06-30,3.63,3.64,3.62,3.64
2010-07-31,3.64,3.64,3.6,3.6
2010-08-31,3.6,3.61,3.6,3.6
2010-09-30,3.61,3.61,3.6,3.61
2010-10-31,3.61,3.62,3.6,3.62
2010-11-30,3.61,3.61,3.6,3.61
2010-12-31,3.63,3.66,3.62,3.66
2011-01-31,3.65,3.85,3.65,3.85
2011-02-28,3.85,3.89,3.85,3.89
2011-03-31,3.89,3.92,3.89,3.92
2011-04-30,3.93,4.1,3.93,4.1
2011-05-31,4.1,4.36,4.1,4.36
2011-06-30,4.36,4.62,4.35,4.62
2011-07-31,4.62,4.62,4.61,4.62
2011-08-31,4.61,4.62,4.61,4.61
2011-09-30,4.61,4.64,4.61,4.64
2011-10-31,4.64,4.71,4.64,4.71
2011-11-30,4.72,4.75,4.71,4.75
2011-12-31,4.75,4.77,4.75,4.77
2012-01-31,4.77,4.77,4.75,4.75
2012-02-29,4.75,4.75,4.74,4.74
2012-03-31,4.74,4.74,4.71,4.72
2012-04-30,4.71,4.72,4.71,4.72
2012-05-31,4.71,4.92,4.71,4.92
2012-06-30,4.92,4.92,4.91,4.91
2012-07-31,4.91,4.92,4.91,4.91
2012-08-31,4.91,4.91,4.9,4.9
2012-09-30,4.9,4.9,4.89,4.9
2012-10-31,4.9,4.9,4.77,4.77
2012-11-30,4.76,4.76,4.51,4.51
2012-12-31,4.49,4.49,4.21,4.21
2013-01-31,4.2,4.2,4.03,4.03
2013-02-28,4.01,4.01,3.8,3.8
2013-03-31,3.8,3.8,3.38,3.39
2013-04-30,3.38,3.38,3.25,3.25
2013-05-31,3.24,3.24,3.01,3.01
2013-06-30,3,3,2.78,2.78
2013-07-31,2.75,2.75,2.63,2.63
2013-08-31,2.63,2.63,2.61,2.61
2013-09-30,2.61,2.61,2.59,2.59
2013-10-31,2.6,2.6,2.59,2.6
2013-11-30,2.6,2.6,2.59,2.6
2013-12-31,2.6,2.61,2.6,2.61
2014-01-31,2.62,2.62,2.6,2.61
2014-02-28,2.61,2.61,2.61,2.61
2014-03-31,2.61,2.61,2.61,2.61
2014-04-30,2.61,2.62,2.61,2.62
2014-05-31,2.62,2.62,2.62,2.62
2014-06-30,2.62,2.62,2.6,2.61
2014-07-31,2.61,2.61,2.6,2.6
2014-08-31,2.6,2.6,2.59,2.59
2014-09-30,2.58,2.58,2.4,2.4
2014-10-31,2.4,2.4,2,2
2014-11-30,1.98,2.08,1.95,2.08
2014-12-31,2.08,2.08,2.08,2.08
2015-01-31,2.08,2.08,2.01,2.01
2015-02-28,2.01,2.01,1.89,1.89
2015-03-31,1.87,1.87,1.64,1.64
2015-04-30,1.64,1.64,1.63,1.63
2015-05-31,1.63,1.65,1.63,1.65
2015-06-30,1.65,1.66,1.65,1.66
2015-07-31,1.66,1.66,1.66,1.66
2015-08-31,1.66,1.66,1.66,1.66
2015-09-30,1.66,1.67,1.66,1.67
2015-10-31,1.67,1.67,1.67,1.67
2015-11-30,1.67,1.67,1.67,1.67
2015-12-31,1.67,1.67,1.65,1.65
2016-01-31,1.65,1.65,1.6,1.6
2016-02-29,1.6,1.6,1.56,1.56
2016-03-31,1.56,1.56,1.56,1.56
2016-04-30,1.56,1.57,1.56,1.57
2016-05-31,1.57,1.59,1.57,1.59
2016-06-30,1.6,1.65,1.6,1.65
2016-07-31,1.65,1.65,1.65,1.65
2016-08-31,1.65,1.65,1.65,1.65
2016-09-30,1.65,1.65,1.65,1.65
2016-10-31,1.65,1.66,1.65,1.66
2016-11-30,1.66,1.66,1.66,1.66
2016-12-31,1.66,1.66,1.66,1.66
2017-01-31,1.66,1.66,1.66,1.66
2017-02-28,1.66,1.66,1.66,1.66
2017-03-31,1.66,1.66,1.66,1.66
2017-04-30,1.66,1.66,1.66,1.66
2017-05-31,1.66,1.66,1.66,1.66
2017-06-30,1.66,1.66,1.66,1.66
2017-07-31,1.66,1.66,1.66,1.66
2017-08-31,1.66,1.66,1.66,1.66
2017-09-30,1.66,1.66,1.66,1.66
2017-10-31,1.66,1.66,1.66,1.66
2017-11-30,1.66,1.66,1.66,1.66
2017-12-31,1.66,1.66,1.65,1.65
2018-01-31,1.65,1.65,1.65,1.65
2018-02-28,1.65,1.65,1.65,1.65
2018-03-31,1.65,1.65,1.64,1.64
2018-04-30,1.64,1.64,1.64,1.64
2018-05-31,1.64,1.64,1.64,1.64
2018-06-30,1.64,1.64,1.64,1.64
2018-07-31,1.64,1.64,1.64,1.64
2018-08-31,1.64,1.64,1.64,1.64
2018-09-30,1.64,1.64,1.64,1.64
2018-10-31,1.64,1.64,1.64,1.64
2018-11-30,1.64,1.64,1.64,1.64
2018-12-31,1.64,1.64,1.64,1.64
2019-01-31,1.64,1.64,1.64,1.64
2019-02-28,1.64,1.64,1.64,1.64
2019-03-31,1.64,1.64,1.64,1.64
2019-04-30,1.64,1.64,1.64,1.64
2019-05-31,1.64,1.64,1.64,1.64
2019-06-30,1.64,1.64,1.64,1.64
2019-07-31,1.64,1.64,1.64,1.64
2019-08-31,1.64,1.64,1.64,1.64
2019-09-30,1.64,1.64,1.63,1.63
2019-10-31,1.63,1.64,1.63,1.63
2019-11-30,1.63,1.63,1.63,1.63
2019-12-31,1.63,1.63,1.63,1.63
2020-01-31,1.63,1.63,1.63,1.63
2020-02-29,1.63,1.63,1.63,1.63
2020-03-31,1.63,1.63,1.14,1.14
2020-04-30,1.14,1.15,0.64,0.64
2020-05-31,0.64,0.64,0.24,0.24
2020-06-30,0.24,0.24,0.23,0.23
2020-07-31,0.23,0.23,0.21,0.21
2020-08-31,0.21,0.21,0.2,0.2
2020-09-30,0.2,0.2,0.2,0.2
2020-10-31,0.2,0.2,0.2,0.2
2020-11-30,0.2,0.2,0.2,0.2
2020-12-31,0.2,0.2,0.2,0.2
2021-01-31,0.2,0.2,0.19,0.19
2021-02-28,0.19,0.19,0.18,0.19
2021-03-31,0.19,0.19,0.18,0.18
2021-04-30,0.18,0.18,0.18,0.18
2021-05-31,0.18,0.18,0.18,0.18
2021-06-30,0.18,0.18,0.17,0.18
2021-07-31,0.18,0.18,0.18,0.18
2021-08-31,0.18,0.18,0.18,0.18
2021-09-30,0.18,0.18,0.18,0.18
2021-10-31,0.18,0.61,0.18,0.61
2021-11-30,0.64,1.7,0.64,1.7
2021-12-31,1.8,2.23,1.8,2.23
2022-01-31,2.27,2.63,2.27,2.63
2022-02-28,2.65,3.14,2.65,3.14
2022-03-31,3.2,4.12,3.2,4.12
2022-04-30,4.21,5.26,4.21,5.26
2022-05-31,5.37,5.89,5.34,5.89
2022-06-30,5.91,6.59,5.91,6.59
2022-07-31,6.59,6.82,6.59,6.75
2022-08-31,6.74,7.01,6.74,7.01
2022-09-30,7.02,7.11,6.95,7.11
2022-10-31,7.14,7.22,6.99,7.15
2022-11-30,7.14,7.16,6.92,6.94
2022-12-31,7.03,7.03,6.93,6.93
