Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,5278.13,5925.05,5176.04,5856.8,8596756
2017-02-28,5884.71,6161.72,5446.22,6049.59,15966488
2017-03-31,6067.82,6835.3,5873.01,6616.42,19577676
2017-04-30,6723.88,6771.06,5730.42,6003.52,9841800
2017-05-31,6036.29,6080.47,5617.35,5780.35,15841953
2017-06-30,5784.99,6296.79,5678.58,6077.31,14287882
2017-07-31,6142.26,6221.51,5896.62,6102.15,9897375
2017-08-31,6073.82,6428.99,5729.95,6326.92,7635498
2017-09-30,6257.6,6298.69,5739.63,6141.87,20659544
2017-10-31,6141.11,6147.03,5500.05,5597.96,9388530
2017-11-30,5628.63,5637.05,4990.49,5217.43,11146916
2017-12-31,5277.04,5868.84,4997.73,5827.07,14304454
2018-01-31,5920.27,6469.7,5684.29,5688.32,13227284
2018-02-28,5739.72,5975.22,5175.25,5413.94,6929237
2018-03-31,5381.63,5630.62,5015.64,5102.88,9475448
2018-04-30,5084.85,5665.34,5028,5321.18,7564671
2018-05-31,5309.37,5643.57,5210.43,5541.33,11943323
2018-06-30,5530.46,5918.39,5348,5781.01,4221802
2018-07-31,5820.67,6071.47,5673.3,6026.02,9827673
2018-08-31,6061.8,6373.09,5921.14,6352.09,11353793
2018-09-30,6350.85,6458.22,5794.95,5863.35,5741564
2018-10-31,5901.38,5957.97,5013.54,5257.07,4854833
2018-11-30,5279.02,5508.06,4797.99,5112.22,2735614
2018-12-31,5183.31,5426.55,5022.06,5105.98,13428991
2019-01-31,5129.22,5133.28,4589.77,4849.25,9858137
2019-02-28,4876.25,5293.44,4767.52,5207.32,6080405
2019-03-31,5201.06,5772.96,5053.2,5158.18,6417266
2019-04-30,5222.63,5792.77,5218.19,5382.41,6455991
2019-05-31,5464.37,5581.1,4930.1,5219.53,3661030
2019-06-30,5224.33,5446.75,5026.66,5410.86,4874675
2019-07-31,5463.2,6035.63,5399.98,5738.55,3556936
2019-08-31,5740.86,5746.7,5103.17,5245.14,3346132
2019-09-30,5251.16,5580.74,5237.5,5345.73,3298007
2019-10-31,5344.29,5587.36,5097.63,5436.54,2985766
2019-11-30,5484.46,6190.65,5406.57,6031.78,4072311
2019-12-31,6066.38,6190.09,4790.14,5197.43,5329119
2020-01-31,5196.75,5906.52,5056.29,5091.21,7673881
2020-02-29,5065.04,5294.09,3975.56,4092.22,44546890
2020-03-31,4190.29,4529.85,2388.35,3432.33,130544208
2020-04-30,3477.75,4775.45,3346.14,3677.24,159768852
2020-05-31,3664.42,3975.05,3597.28,3887.05,58025097
2020-06-30,3905.38,5519.12,3841.63,4865.52,81457151
2020-07-31,4921.34,7781.24,4758.78,6907.75,150363845
2020-08-31,7267.23,8231.12,5473.51,6654.44,129100653
2020-09-30,6685.76,6712.59,4722.54,6061.14,126690953
2020-10-31,6149.18,7027.91,5105.99,5236.53,84658999
2020-11-30,5376.47,6464.24,4980.09,4996.24,44869488
2020-12-31,5036.98,5340.44,4422.3,4682.94,54277022
2021-01-31,4791.86,5768.23,4749.61,4918.82,32374134
2021-02-28,4942.09,5610.39,4863.38,5238.88,33534042
2021-03-31,5335.86,9323.31,5325.28,7572,143140089
2021-04-30,7692.6,7970.21,6272.54,6580.67,40421310
2021-05-31,6409.78,6571.19,5736.64,6374.53,24944810
2021-06-30,6372.87,7136.93,6244.59,6332.77,17558820
2021-07-31,6379.21,6407.65,5656.83,5822.06,11076021
2021-08-31,5887.59,6317.39,5818.1,6289.19,13129770
2021-09-30,6347.9,6682.25,5918.04,6240.07,16541622
2021-10-31,6230.58,7208.31,5759.78,6325.35,20632407
2021-11-30,6454.91,6503.1,5290.69,5371.95,23728085
2021-12-31,5377.42,5622.81,4800.01,5096.92,30418439
2022-01-31,5063.57,5176.78,4176.63,4453.85,17119462
2022-02-28,4560.96,4601.73,3090.17,3390.05,13008356
2022-03-31,3365.24,3929.52,2988.66,3732.57,23133869
2022-04-30,3707.96,3764.53,3297.02,3318.76,7810867
2022-05-31,3312.7,3435.84,2933.26,3043.63,5196660
2022-06-30,3065.11,3108.41,2647.52,2745.32,5250350
2022-07-31,2784.42,3741.38,2776.83,3675.91,47319387
2022-08-31,3705.06,3763.42,3082.84,3353.69,43406703
2022-09-30,3361.25,3368.47,2851.24,2854.1,28430430
2022-10-31,2868.45,3069.88,2768.64,3032.19,16315053
2022-11-30,3067.55,3209.58,2945.49,3022.88,19155201
2022-12-31,2999.07,3172.33,2945.06,3118.62,9505624
